일교차,천식_lag0,천식_lag1,천식_lag2,천식_lag3,천식_lag4,천식_lag5,천식_lag6
7.3999999999999995,433,2484.0,253.0,4534.0,3301.0,3109.0,2985.0
12.2,2484,253.0,4534.0,3301.0,3109.0,2985.0,3383.0
7.3999999999999995,253,4534.0,3301.0,3109.0,2985.0,3383.0,2248.0
13.5,4534,3301.0,3109.0,2985.0,3383.0,2248.0,299.0
5.5,3301,3109.0,2985.0,3383.0,2248.0,299.0,4282.0
7.800000000000001,3109,2985.0,3383.0,2248.0,299.0,4282.0,3215.0
6.999999999999999,2985,3383.0,2248.0,299.0,4282.0,3215.0,3098.0
7.2,3383,2248.0,299.0,4282.0,3215.0,3098.0,3152.0
9.2,2248,299.0,4282.0,3215.0,3098.0,3152.0,3601.0
12.4,299,4282.0,3215.0,3098.0,3152.0,3601.0,2446.0
8.8,4282,3215.0,3098.0,3152.0,3601.0,2446.0,304.0
5.6,3215,3098.0,3152.0,3601.0,2446.0,304.0,4649.0
10.7,3098,3152.0,3601.0,2446.0,304.0,4649.0,3513.0
12.0,3152,3601.0,2446.0,304.0,4649.0,3513.0,3212.0
10.5,3601,2446.0,304.0,4649.0,3513.0,3212.0,3409.0
13.9,2446,304.0,4649.0,3513.0,3212.0,3409.0,3831.0
6.799999999999999,304,4649.0,3513.0,3212.0,3409.0,3831.0,2681.0
11.799999999999999,4649,3513.0,3212.0,3409.0,3831.0,2681.0,313.0
5.9,3513,3212.0,3409.0,3831.0,2681.0,313.0,4459.0
7.499999999999999,3212,3409.0,3831.0,2681.0,313.0,4459.0,3647.0
12.7,3409,3831.0,2681.0,313.0,4459.0,3647.0,3111.0
11.399999999999999,3831,2681.0,313.0,4459.0,3647.0,3111.0,3194.0
8.899999999999999,2681,313.0,4459.0,3647.0,3111.0,3194.0,3632.0
12.899999999999999,313,4459.0,3647.0,3111.0,3194.0,3632.0,2513.0
7.8,4459,3647.0,3111.0,3194.0,3632.0,2513.0,316.0
9.2,3647,3111.0,3194.0,3632.0,2513.0,316.0,4825.0
11.799999999999999,3111,3194.0,3632.0,2513.0,316.0,4825.0,3574.0
4.3999999999999995,3194,3632.0,2513.0,316.0,4825.0,3574.0,3353.0
7.300000000000001,3632,2513.0,316.0,4825.0,3574.0,3353.0,3344.0
12.6,2513,316.0,4825.0,3574.0,3353.0,3344.0,3940.0
14.299999999999999,316,4825.0,3574.0,3353.0,3344.0,3940.0,2557.0
13.5,4825,3574.0,3353.0,3344.0,3940.0,2557.0,300.0
16.9,3574,3353.0,3344.0,3940.0,2557.0,300.0,4886.0
5.799999999999999,3353,3344.0,3940.0,2557.0,300.0,4886.0,3990.0
7.9,3344,3940.0,2557.0,300.0,4886.0,3990.0,717.0
8.600000000000001,3940,2557.0,300.0,4886.0,3990.0,717.0,4018.0
10.899999999999999,2557,300.0,4886.0,3990.0,717.0,4018.0,3905.0
15.7,300,4886.0,3990.0,717.0,4018.0,3905.0,2581.0
11.8,4886,3990.0,717.0,4018.0,3905.0,2581.0,320.0
10.200000000000001,3990,717.0,4018.0,3905.0,2581.0,320.0,4922.0
8.3,717,4018.0,3905.0,2581.0,320.0,4922.0,3874.0
9.400000000000002,4018,3905.0,2581.0,320.0,4922.0,3874.0,3335.0
12.2,3905,2581.0,320.0,4922.0,3874.0,3335.0,3665.0
16.1,2581,320.0,4922.0,3874.0,3335.0,3665.0,4165.0
15.799999999999999,320,4922.0,3874.0,3335.0,3665.0,4165.0,2852.0
8.3,4922,3874.0,3335.0,3665.0,4165.0,2852.0,330.0
6.399999999999999,3874,3335.0,3665.0,4165.0,2852.0,330.0,5001.0
12.100000000000001,3335,3665.0,4165.0,2852.0,330.0,5001.0,3831.0
14.2,3665,4165.0,2852.0,330.0,5001.0,3831.0,3429.0
12.8,4165,2852.0,330.0,5001.0,3831.0,3429.0,3550.0
4.199999999999999,2852,330.0,5001.0,3831.0,3429.0,3550.0,4051.0
8.399999999999999,330,5001.0,3831.0,3429.0,3550.0,4051.0,2684.0
9.100000000000001,5001,3831.0,3429.0,3550.0,4051.0,2684.0,381.0
11.0,3831,3429.0,3550.0,4051.0,2684.0,381.0,4908.0
5.5,3429,3550.0,4051.0,2684.0,381.0,4908.0,3746.0
10.5,3550,4051.0,2684.0,381.0,4908.0,3746.0,2466.0
14.6,4051,2684.0,381.0,4908.0,3746.0,2466.0,3957.0
14.7,2684,381.0,4908.0,3746.0,2466.0,3957.0,4430.0
15.899999999999999,381,4908.0,3746.0,2466.0,3957.0,4430.0,2641.0
9.200000000000003,4908,3746.0,2466.0,3957.0,4430.0,2641.0,230.0
6.5,3746,2466.0,3957.0,4430.0,2641.0,230.0,921.0
10.1,2466,3957.0,4430.0,2641.0,230.0,921.0,4834.0
11.299999999999999,3957,4430.0,2641.0,230.0,921.0,4834.0,3430.0
15.7,4430,2641.0,230.0,921.0,4834.0,3430.0,3407.0
13.9,2641,230.0,921.0,4834.0,3430.0,3407.0,3761.0
4.900000000000002,230,921.0,4834.0,3430.0,3407.0,3761.0,2631.0
2.299999999999999,921,4834.0,3430.0,3407.0,3761.0,2631.0,322.0
2.8000000000000007,4834,3430.0,3407.0,3761.0,2631.0,322.0,4837.0
12.399999999999999,3430,3407.0,3761.0,2631.0,322.0,4837.0,3846.0
10.9,3407,3761.0,2631.0,322.0,4837.0,3846.0,359.0
11.3,3761,2631.0,322.0,4837.0,3846.0,359.0,4118.0
8.0,2631,322.0,4837.0,3846.0,359.0,4118.0,3959.0
9.700000000000001,322,4837.0,3846.0,359.0,4118.0,3959.0,2419.0
12.6,4837,3846.0,359.0,4118.0,3959.0,2419.0,338.0
12.0,3846,359.0,4118.0,3959.0,2419.0,338.0,4482.0
11.600000000000001,359,4118.0,3959.0,2419.0,338.0,4482.0,3256.0
12.9,4118,3959.0,2419.0,338.0,4482.0,3256.0,3099.0
14.099999999999998,3959,2419.0,338.0,4482.0,3256.0,3099.0,3138.0
10.5,2419,338.0,4482.0,3256.0,3099.0,3138.0,3611.0
11.999999999999998,338,4482.0,3256.0,3099.0,3138.0,3611.0,2264.0
6.0,4482,3256.0,3099.0,3138.0,3611.0,2264.0,319.0
12.0,3256,3099.0,3138.0,3611.0,2264.0,319.0,4499.0
9.100000000000001,3099,3138.0,3611.0,2264.0,319.0,4499.0,3469.0
10.599999999999998,3138,3611.0,2264.0,319.0,4499.0,3469.0,2969.0
9.0,3611,2264.0,319.0,4499.0,3469.0,2969.0,3230.0
6.0,2264,319.0,4499.0,3469.0,2969.0,3230.0,3471.0
6.699999999999999,319,4499.0,3469.0,2969.0,3230.0,3471.0,2477.0
8.500000000000002,4499,3469.0,2969.0,3230.0,3471.0,2477.0,293.0
11.8,3469,2969.0,3230.0,3471.0,2477.0,293.0,4397.0
11.4,2969,3230.0,3471.0,2477.0,293.0,4397.0,3305.0
8.400000000000002,3230,3471.0,2477.0,293.0,4397.0,3305.0,3384.0
8.5,3471,2477.0,293.0,4397.0,3305.0,3384.0,308.0
7.699999999999999,2477,293.0,4397.0,3305.0,3384.0,308.0,4313.0
10.100000000000001,293,4397.0,3305.0,3384.0,308.0,4313.0,2023.0
13.0,4397,3305.0,3384.0,308.0,4313.0,2023.0,267.0
13.0,3305,3384.0,308.0,4313.0,2023.0,267.0,4314.0
12.0,3384,308.0,4313.0,2023.0,267.0,4314.0,3207.0
12.099999999999998,308,4313.0,2023.0,267.0,4314.0,3207.0,2891.0
9.7,4313,2023.0,267.0,4314.0,3207.0,2891.0,2997.0
7.100000000000001,2023,267.0,4314.0,3207.0,2891.0,2997.0,3314.0
11.400000000000002,267,4314.0,3207.0,2891.0,2997.0,3314.0,2084.0
12.100000000000001,4314,3207.0,2891.0,2997.0,3314.0,2084.0,252.0
9.900000000000002,3207,2891.0,2997.0,3314.0,2084.0,252.0,4149.0
12.600000000000001,2891,2997.0,3314.0,2084.0,252.0,4149.0,2514.0
12.799999999999997,2997,3314.0,2084.0,252.0,4149.0,2514.0,2874.0
11.600000000000001,3314,2084.0,252.0,4149.0,2514.0,2874.0,2942.0
6.399999999999999,2084,252.0,4149.0,2514.0,2874.0,2942.0,3180.0
9.600000000000001,252,4149.0,2514.0,2874.0,2942.0,3180.0,1914.0
11.3,4149,2514.0,2874.0,2942.0,3180.0,1914.0,261.0
12.5,2514,2874.0,2942.0,3180.0,1914.0,261.0,4060.0
14.399999999999999,2874,2942.0,3180.0,1914.0,261.0,4060.0,3049.0
12.0,2942,3180.0,1914.0,261.0,4060.0,3049.0,2669.0
11.0,3180,1914.0,261.0,4060.0,3049.0,2669.0,2903.0
3.5,1914,261.0,4060.0,3049.0,2669.0,2903.0,3060.0
7.600000000000001,261,4060.0,3049.0,2669.0,2903.0,3060.0,2006.0
6.699999999999999,4060,3049.0,2669.0,2903.0,3060.0,2006.0,237.0
8.099999999999998,3049,2669.0,2903.0,3060.0,2006.0,237.0,4000.0
12.700000000000003,2669,2903.0,3060.0,2006.0,237.0,4000.0,2570.0
11.0,2903,3060.0,2006.0,237.0,4000.0,2570.0,2913.0
11.2,3060,2006.0,237.0,4000.0,2570.0,2913.0,2813.0
10.699999999999996,2006,237.0,4000.0,2570.0,2913.0,2813.0,3257.0
2.8999999999999986,237,4000.0,2570.0,2913.0,2813.0,3257.0,2077.0
9.3,4000,2570.0,2913.0,2813.0,3257.0,2077.0,238.0
3.3000000000000007,2570,2913.0,2813.0,3257.0,2077.0,238.0,3864.0
2.299999999999997,2913,2813.0,3257.0,2077.0,238.0,3864.0,3072.0
7.400000000000002,2813,3257.0,2077.0,238.0,3864.0,3072.0,2741.0
4.800000000000001,3257,2077.0,238.0,3864.0,3072.0,2741.0,2950.0
7.899999999999999,2077,238.0,3864.0,3072.0,2741.0,2950.0,3245.0
6.699999999999999,238,3864.0,3072.0,2741.0,2950.0,3245.0,1962.0
1.3999999999999986,3864,3072.0,2741.0,2950.0,3245.0,1962.0,248.0
4.0,3072,2741.0,2950.0,3245.0,1962.0,248.0,3956.0
8.400000000000002,2741,2950.0,3245.0,1962.0,248.0,3956.0,2844.0
5.599999999999998,2950,3245.0,1962.0,248.0,3956.0,2844.0,2638.0
8.399999999999999,3245,1962.0,248.0,3956.0,2844.0,2638.0,2492.0
9.799999999999997,1962,248.0,3956.0,2844.0,2638.0,2492.0,3406.0
7.200000000000003,248,3956.0,2844.0,2638.0,2492.0,3406.0,2223.0
6.800000000000001,3956,2844.0,2638.0,2492.0,3406.0,2223.0,265.0
6.099999999999998,2844,2638.0,2492.0,3406.0,2223.0,265.0,4117.0
4.0,2638,2492.0,3406.0,2223.0,265.0,4117.0,3226.0
2.5,2492,3406.0,2223.0,265.0,4117.0,3226.0,2800.0
6.600000000000001,3406,2223.0,265.0,4117.0,3226.0,2800.0,3115.0
5.5,2223,265.0,4117.0,3226.0,2800.0,3115.0,3322.0
7.300000000000001,265,4117.0,3226.0,2800.0,3115.0,3322.0,2269.0
3.599999999999998,4117,3226.0,2800.0,3115.0,3322.0,2269.0,231.0
1.5,3226,2800.0,3115.0,3322.0,2269.0,231.0,4061.0
4.899999999999999,2800,3115.0,3322.0,2269.0,231.0,4061.0,3122.0
6.800000000000004,3115,3322.0,2269.0,231.0,4061.0,3122.0,2754.0
7.5000000000000036,3322,2269.0,231.0,4061.0,3122.0,2754.0,2729.0
4.199999999999999,2269,231.0,4061.0,3122.0,2754.0,2729.0,2952.0
4.900000000000002,231,4061.0,3122.0,2754.0,2729.0,2952.0,1788.0
1.0,4061,3122.0,2754.0,2729.0,2952.0,1788.0,247.0
5.599999999999998,3122,2754.0,2729.0,2952.0,1788.0,247.0,3979.0
6.299999999999997,2754,2729.0,2952.0,1788.0,247.0,3979.0,2947.0
5.900000000000002,2729,2952.0,1788.0,247.0,3979.0,2947.0,2754.0
4.300000000000001,2952,1788.0,247.0,3979.0,2947.0,2754.0,2912.0
7.0000000000000036,1788,247.0,3979.0,2947.0,2754.0,2912.0,3305.0
8.900000000000002,247,3979.0,2947.0,2754.0,2912.0,3305.0,2028.0
6.800000000000004,3979,2947.0,2754.0,2912.0,3305.0,2028.0,252.0
7.899999999999999,2947,2754.0,2912.0,3305.0,2028.0,252.0,3975.0
6.199999999999999,2754,2912.0,3305.0,2028.0,252.0,3975.0,2895.0
4.700000000000003,2912,3305.0,2028.0,252.0,3975.0,2895.0,2715.0
8.0,3305,2028.0,252.0,3975.0,2895.0,2715.0,330.0
7.200000000000003,2028,252.0,3975.0,2895.0,2715.0,330.0,3731.0
6.599999999999998,252,3975.0,2895.0,2715.0,330.0,3731.0,1927.0
5.900000000000002,3975,2895.0,2715.0,330.0,3731.0,1927.0,279.0
8.299999999999997,2895,2715.0,330.0,3731.0,1927.0,279.0,3967.0
7.599999999999998,2715,330.0,3731.0,1927.0,279.0,3967.0,2916.0
7.900000000000002,330,3731.0,1927.0,279.0,3967.0,2916.0,2562.0
7.4999999999999964,3731,1927.0,279.0,3967.0,2916.0,2562.0,2622.0
6.800000000000001,1927,279.0,3967.0,2916.0,2562.0,2622.0,3059.0
6.899999999999999,279,3967.0,2916.0,2562.0,2622.0,3059.0,2117.0
8.999999999999996,3967,2916.0,2562.0,2622.0,3059.0,2117.0,233.0
8.399999999999999,2916,2562.0,2622.0,3059.0,2117.0,233.0,3703.0
3.900000000000002,2562,2622.0,3059.0,2117.0,233.0,3703.0,2807.0
3.1999999999999993,2622,3059.0,2117.0,233.0,3703.0,2807.0,2457.0
5.400000000000002,3059,2117.0,233.0,3703.0,2807.0,2457.0,2589.0
5.799999999999997,2117,233.0,3703.0,2807.0,2457.0,2589.0,3043.0
7.800000000000004,233,3703.0,2807.0,2457.0,2589.0,3043.0,2046.0
5.0,3703,2807.0,2457.0,2589.0,3043.0,2046.0,
5.699999999999999,2807,2457.0,2589.0,3043.0,2046.0,,
10.200000000000003,2457,2589.0,3043.0,2046.0,,,
10.100000000000001,2589,3043.0,2046.0,,,,
9.2,3043,2046.0,,,,,
10.399999999999999,2046,,,,,,
